health_center,pop,casos,district,rate,lon,lat
Ancuabe,118926,61,Cabo Delgado,0.00051292400316163,39.8540539,-12.9779972
Balama,139508,34,Cabo Delgado,0.000243713622157869,38.5637919,-13.3497279
Chiure,241754,66,Cabo Delgado,0.000273004789993133,39.9594146,-13.3761298
Ibo,11125,8,Cabo Delgado,0.000719101123595506,40.587328,-12.342732
Macomia,88556,46,Cabo Delgado,0.000519445322733637,40.1401539,-12.2338525
Mecufi,47660,18,Cabo Delgado,0.000377675199328577,40.5470443,-13.3415717
Meluco,26022,20,Cabo Delgado,0.000768580431942203,39.6440744,-12.5417526
Mocimboa Praia,103740,85,Cabo Delgado,0.000819356082513977,40.3522402,-11.3535985
Montepuez,221915,78,Cabo Delgado,0.000351485929297253,38.9981052,-13.1340453
Mueda,125427,47,Cabo Delgado,0.000374719956628158,39.5640159,-11.6644184
Muidumbe,78003,18,Cabo Delgado,0.000230760355370947,39.8951921,-11.7749971
Namuno,205368,53,Cabo Delgado,0.000258073312297924,38.8153157,-13.6189251
Nangade,70022,25,Cabo Delgado,0.000357030647510782,39.6750369,-11.0727653
Palma,51784,30,Cabo Delgado,0.000579329522632473,40.4745459,-10.7743717
Pemba Cidade,182446,374,Cabo Delgado,0.00204992162064392,40.5178014,-12.9732026
Pemba Metuge,77707,42,Cabo Delgado,0.000540491847581299,40.3496894,-12.9346821
Quissanga,40162,25,Cabo Delgado,0.000622478960211145,40.390488,-12.5183923
Mavalane,1209993,269,Maputo City,0.000222315335708554,32.5853469,-25.9258227
P.Cimento,NA,52,Maputo City,NA,32.5867605,-25.9714136
Malhangalene,NA,169,Maputo City,NA,32.5811061,-25.9570835
P. Caniço,NA,243,Maputo City,NA,32.6114948,-25.9356557
1 de Junho,NA,202,Maputo City,NA,32.5532024,-25.9538086
H.Militar,NA,112,Maputo City,NA,32.5913544,-25.9581155
Inhaca,NA,24,Maputo City,NA,32.9324972,-26.0083146
Albasine,NA,119,Maputo City,NA,32.6051351,-25.891968
Romão,NA,61,Maputo City,NA,32.565867,-25.9647339
1º de Maio,NA,176,Maputo City,NA,32.5562626,-25.9099411
Pescador,NA,52,Maputo City,NA,32.6051351,-25.891968
Hulene,NA,156,Maputo City,NA,32.5966549,-25.8967244
José Macamo,NA,165,Maputo City,NA,32.5887497,-25.9818302
Zimpeto,NA,130,Maputo City,NA,32.5824755,-25.8475578
Bagamoio,NA,185,Maputo City,NA,32.5613133,-25.8937797
Catembe,NA,47,Maputo City,NA,32.557362,-26.003799
Magoanine MC,NA,53,Maputo City,NA,32.6051351,-25.891968
Magoanine Tenda,NA,62,Maputo City,NA,32.6051351,-25.891968
Inhagoia,NA,64,Maputo City,NA,32.5610089,-25.922907
Chamanculo,NA,182,Maputo City,NA,32.5556575,-25.9372202
Xipamanine,NA,224,Maputo City,NA,32.5626455,-25.9390319
Alto maé,NA,192,Maputo City,NA,32.5705033,-25.9590933
Maxaquene,NA,33,Maputo City,NA,32.5811061,-25.9387043
Porto,NA,24,Maputo City,NA,32.573056,-25.919722
Bilene,165784,202,Gaza,0.0012184529266998,33.1688883,-25.0161215
Chibuto,210251,194,Gaza,0.000922706669647231,33.544808,-24.6967014
Chicualacuala,43292,39,Gaza,0.000900859281160492,31.6796392,-22.0845253
Chigubo,26949,27,Gaza,0.00100189246354225,33.3486147,-22.9588974
Chókwé,199523,506,Gaza,0.00253604847561434,32.9831998,-24.5323166
Guijá,88953,78,Gaza,0.000876867559272874,32.9409494,-24.4191999
Mabalane,36968,35,Gaza,0.000946764769530405,32.6249195,-23.8478077
Manjacaze,177718,141,Gaza,0.000793391777985348,33.8801952,-24.7057037
Massangene,17595,12,Gaza,0.000682011935208866,NA,NA
Massingir,33504,39,Gaza,0.00116404011461318,32.1660901,-23.9239146
Xai- xai C.,125774,235,Gaza,0.00186843067724649,33.6958809,-25.060476
Xai - xai D.,241540,337,Gaza,0.00139521404322265,33.6958809,-25.060476
Inhambane,75413,153,Inhambane,0.00202882792091549,35.3959879,-23.8879561
Jangamo,106789,48,Inhambane,0.000449484497466968,35.317181,-24.106899
Inharrime,119585,141,Inhambane,0.00117907764351716,35.0250484,-24.4733653
Zavala,155691,230,Inhambane,0.00147728513530005,34.4198243,-24.6967741
Panda,51719,29,Inhambane,0.000560722365088265,34.7284948,-24.0631852
Homoíne,123632,116,Inhambane,0.000938268409473276,35.1516287,-23.882309
Maxixe,123114,227,Inhambane,0.00184381954936076,35.3411388,-23.8611302
Morrumbene,142831,69,Inhambane,0.000483088405178148,35.3383954,-23.6581787
Massinga,200702,126,Inhambane,0.000627796434514853,35.3740526,-23.3266625
Vilanculo,158220,111,Inhambane,0.000701554797117937,35.3191889,-21.9997305
Govuro,40121,60,Inhambane,0.00149547618454176,34.597132,-21.330157
Inhassoro,57215,72,Inhambane,0.00125841125578957,35.1818695,-21.5534549
Mabote,50616,53,Inhambane,0.00104709973131026,34.1420679,-22.0502234
Funhalouro,45433,51,Inhambane,0.00112253208020602,34.3643423,-23.0791827
Manica,265518,275,Manica,0.00103571132653907,32.8648538,-18.9438274
Sussundenga,157018,90,Manica,0.000573182692430167,33.2952931,-19.4130181
Gondola,320424,169,Manica,0.000527426160337553,33.6455502,-19.0832069
C. Chimoio,295189,609,Manica,0.00206308500655512,33.4607744,-19.1054879
Mossurize,256703,49,Manica,0.000190882069940749,32.8084496,-20.5594054
Machaze,126677,42,Manica,0.000331551899713444,33.258793,-21.0498534
Bárué,200021,100,Manica,0.000499947505511921,33.258793,-18.0435897
Guro,87026,16,Manica,0.000183853101372004,33.3542258,-17.4192073
Tambara,51268,30,Manica,0.000585160333931497,34.2504956,-16.7238478
Macossa,40403,10,Manica,0.000247506373289112,33.9331874,-17.8991697
Angoche,316783,144,Nampula,0.00045456984749813,39.914466,-16.2162656
Nacaroa,121832,71,Nampula,0.000582769715674043,39.914466,-14.3688284
Ilha de Moç.,53721,53,Nampula,0.000986578805308911,40.731701,-15.03815
Lalaua,84733,23,Nampula,0.000271440878996377,38.2691276,-14.3934363
Malema,189058,79,Nampula,0.000417861185456315,37.3827234,-14.7506801
